SB 背番号,SB 選手名,南海 選手名 (背番号),南海ホークス 応援歌 (歌詞)
39,山本佑,吉田博之,今だ打て 狙い打て ホームランかっ飛ばせ吉田  今だ打て 狙い打て お前も男なら
62,海野,吉田博之,今だ打て 狙い打て ホームランかっ飛ばせ吉田  今だ打て 狙い打て お前も男なら
0,川瀬,藤原満,藤原 藤原 藤原  さあ頼むぞ 藤原
6,今宮,森脇浩司,それゆけ森脇 ボールにくらいつけ 鉄壁のディフェンスだ そして勝利につなげ
77,山本,山本和範,大空に羽ばたく 山本和範  豪快な打球を ぶちかませよ
24,栗原,岸川勝也,闘志を燃やし 行け岸川  期待に応え ホームラン
25,庄子,ジョージ・ライト,さあ行くぞライト ホームランライト  ここで勝負を決めろ 我らの助っ人ライト
3,近藤,河埜敬幸,打つぞ打つぞ河埜の一撃  飛ばせレフトへ ホームラン
9,柳田,門田博光,行け それ打て門田 右へ左へホームラン  行け それ打て門田 めざせ６０本
23,周東,山口裕二,走りのスペシャリスト グランドの砂を蹴り  電光石火だ 風を斬りホームまで
31,正木,久保寺雄二,打て久保寺 ホームラン  打て我らの 核弾頭
32,柳町,高柳秀樹,かっ飛ばせ高柳 ホームラン
4,ジーター,デビット,ここまで飛ばせホームラン  ここまで飛ばせホームラン
45,谷川原,湯上谷竑志,燃えろよ湯上谷 我等の湯上谷 お前のバットで 勝利を決めろ
99,野村,トニー・バナザード,勝利を決めるこの一打 メジャーのパワー  Go Go Let's Go トニー 我らのトニー
44,笹川,畠山準,俊足巧打のスラッガー　畠山準　アーチを突き刺せスタンドへ　弾丸ライナー
61,川村,畠山準,俊足巧打のスラッガー　畠山準　アーチを突き刺せスタンドへ　弾丸ライナー
8,牧原,小川史,かっとばせヒットマン  それ行け小川
7,中村晃,加藤英司,英司英司英司 ホームラン英司
33,廣瀬,山村善則,かっ飛ばせ山村  ホームランホームラン山村
-,予備①,グッドウィン,（ヒッティングマーチ）
-,予備②,ナイマン,Go Go ここで一発　Go Go 燃えろナイマン　Go Go ここで一発　Go Go 燃えろナイマン
-,予備③,ハモンド,打てよハモンド ホームラン  打てよハモンド 我等のハモンド
